,Survived,Sex,Age,SibSp,Parch,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S
0,0,1,-0.527668557291984,1,0,0,0,1,0,0,1
1,1,0,0.5770938751757179,1,0,1,0,0,1,0,0
2,1,0,-0.25147794917505856,0,0,0,0,1,0,0,1
3,1,0,0.36995091908802374,1,0,1,0,0,0,0,1
4,0,1,0.36995091908802374,0,0,0,0,1,0,0,1
6,0,1,1.6818563076434199,0,0,1,0,0,0,0,1
7,0,1,-1.9086215978766115,3,1,0,0,1,0,0,1
8,1,0,-0.1824302971458272,0,2,0,0,1,0,0,1
9,1,0,-1.080049773525835,1,0,0,1,0,1,0,0
10,1,0,-1.7705262938181487,1,1,0,0,1,0,0,1
11,1,0,1.9580469157603453,0,0,1,0,0,0,0,1
12,0,1,-0.6657638613504469,0,0,0,0,1,0,0,1
13,0,1,0.6461415272049492,1,5,0,0,1,0,0,1
14,0,0,-1.080049773525835,0,0,0,0,1,0,0,1
15,1,0,1.7509039596726512,0,0,0,1,0,0,0,1
16,0,1,-1.9086215978766115,4,1,0,0,1,0,1,0
18,0,0,0.09376031097109827,1,0,0,0,1,0,0,1
20,0,1,0.36995091908802374,0,0,0,1,0,0,0,1
21,1,1,0.3009032670587924,0,0,0,1,0,0,0,1
22,1,0,-1.0110021214966036,0,0,0,0,1,0,1,0
23,1,1,-0.11338264511659583,0,0,1,0,0,0,0,1
24,0,0,-1.4943356857012233,3,1,0,0,1,0,0,1
25,1,0,0.5770938751757179,1,5,0,0,1,0,0,1
27,0,1,-0.7348115133796782,3,2,1,0,0,0,0,1
30,0,1,0.7151891792341806,0,0,1,0,0,1,0,0
33,0,1,2.5104281319941966,0,0,0,1,0,0,0,1
34,0,1,-0.11338264511659583,1,0,1,0,0,1,0,0
35,0,1,0.8532844832926434,1,0,1,0,0,0,0,1
37,0,1,-0.5967162093212154,0,0,0,0,1,0,0,1
38,0,0,-0.8038591654089096,2,0,0,0,1,0,0,1
39,1,0,-1.080049773525835,1,0,0,0,1,1,0,0
40,0,0,0.7151891792341806,1,0,0,0,1,0,0,1
41,0,0,-0.1824302971458272,1,0,0,1,0,0,0,1
43,1,0,-1.83957394584738,1,2,0,1,0,1,0,0
44,1,0,-0.7348115133796782,0,0,0,0,1,0,1,0
49,0,0,-0.8038591654089096,1,0,0,0,1,0,0,1
50,0,1,-1.5633833377304547,4,1,0,0,1,0,0,1
51,0,1,-0.5967162093212154,0,0,0,0,1,0,0,1
52,1,0,1.3366180474972629,1,0,1,0,0,1,0,0
53,1,0,-0.044334993087364466,1,0,0,1,0,0,0,1
54,0,1,2.441380479964965,0,1,1,0,0,1,0,0
56,1,0,-0.5967162093212154,0,0,0,1,0,0,0,1
57,0,1,-0.07885881910198016,0,0,0,0,1,1,0,0
58,1,0,-1.7014786417889174,1,2,0,1,0,0,0,1
59,0,1,-1.287192729613529,5,2,0,0,1,0,0,1
60,0,1,-0.527668557291984,0,0,0,0,1,1,0,0
62,0,1,1.0604274393803375,1,0,1,0,0,0,0,1
63,0,1,-1.7705262938181487,3,2,0,0,1,0,0,1
66,1,0,-0.044334993087364466,0,0,0,1,0,0,0,1
67,0,1,-0.7348115133796782,0,0,0,0,1,0,0,1
68,1,0,-0.8729068174381409,4,2,0,0,1,0,0,1
69,0,1,-0.25147794917505856,2,0,0,0,1,0,0,1
70,0,1,0.16280796300032965,0,0,0,1,0,0,0,1
71,0,0,-0.9419544694673723,5,2,0,0,1,0,0,1
72,0,1,-0.5967162093212154,0,0,0,1,0,0,0,1
73,0,1,-0.25147794917505856,1,0,0,0,1,1,0,0
74,1,1,0.16280796300032965,0,0,0,0,1,0,0,1
75,0,1,-0.32052560120428997,0,0,0,0,1,0,0,1
78,1,1,-1.9894073507508123,0,2,0,1,0,0,0,1
79,1,0,0.024712658941866902,0,0,0,0,1,0,0,1
80,0,1,-0.527668557291984,0,0,0,0,1,0,0,1
81,1,1,-0.044334993087364466,0,0,0,0,1,0,0,1
83,0,1,-0.11338264511659583,0,0,1,0,0,0,0,1
84,1,0,-0.8729068174381409,0,0,0,1,0,0,0,1
85,1,0,0.231855615029561,3,0,0,0,1,0,0,1
86,0,1,-0.9419544694673723,1,3,0,0,1,0,0,1
88,1,0,-0.4586209052627527,3,2,1,0,0,0,0,1
89,0,1,-0.3895732532335213,0,0,0,0,1,0,0,1
90,0,1,-0.044334993087364466,0,0,0,0,1,0,0,1
91,0,1,-0.6657638613504469,0,0,0,0,1,0,0,1
92,0,1,1.1294750914095688,1,0,1,0,0,0,0,1
93,0,1,-0.25147794917505856,1,2,0,0,1,0,0,1
94,0,1,2.0270945677895766,0,0,0,0,1,0,0,1
96,0,1,2.8556663921403533,0,0,1,0,0,1,0,0
97,1,1,-0.4586209052627527,0,1,1,0,0,1,0,0
98,1,0,0.3009032670587924,0,1,0,1,0,0,0,1
99,0,1,0.3009032670587924,1,0,0,1,0,0,0,1
100,0,0,-0.11338264511659583,0,0,0,0,1,0,0,1
102,0,1,-0.5967162093212154,0,1,1,0,0,0,0,1
103,0,1,0.231855615029561,0,0,0,0,1,0,0,1
104,0,1,0.5080462231464865,2,0,0,0,1,0,0,1
105,0,1,-0.11338264511659583,0,0,0,0,1,0,0,1
106,1,0,-0.5967162093212154,0,0,0,0,1,0,0,1
108,0,1,0.5770938751757179,0,0,0,0,1,0,0,1
110,0,1,1.1985227434388002,0,0,1,0,0,0,0,1
111,0,0,-1.0455259475112193,1,0,0,0,1,1,0,0
112,0,1,-0.527668557291984,0,0,0,0,1,0,0,1
113,0,0,-0.6657638613504469,1,0,0,0,1,0,0,1
114,0,0,-0.8729068174381409,0,0,0,0,1,1,0,0
115,0,1,-0.5967162093212154,0,0,0,0,1,0,0,1
116,0,1,2.8211425661257374,0,0,0,0,1,0,1,0
117,0,1,-0.044334993087364466,1,0,0,1,0,0,0,1
118,0,1,-0.3895732532335213,0,1,1,0,0,1,0,0
119,0,0,-1.9086215978766115,4,2,0,0,1,0,0,1
120,0,1,-0.5967162093212154,2,0,0,1,0,0,0,1
122,0,1,0.19733178901494533,1,0,0,1,0,1,0,0
123,1,0,0.19733178901494533,0,0,0,1,0,0,0,1
124,0,1,1.6818563076434199,0,1,1,0,0,0,0,1
125,1,1,-1.2181450775842977,1,0,0,0,1,1,0,0
127,1,1,-0.3895732532335213,0,0,0,0,1,0,0,1
129,0,1,1.0604274393803375,0,0,0,0,1,0,0,1
130,0,1,0.231855615029561,0,0,0,0,1,1,0,0
131,0,1,-0.6657638613504469,0,0,0,0,1,0,0,1
132,0,0,1.1985227434388002,1,0,0,0,1,0,0,1
133,1,0,-0.044334993087364466,1,0,0,1,0,0,0,1
134,0,1,-0.32052560120428997,0,0,0,1,0,0,0,1
135,0,1,-0.4586209052627527,0,0,0,1,0,1,0,0
136,1,0,-0.7348115133796782,0,2,1,0,0,0,0,1
137,0,1,0.5080462231464865,1,0,1,0,0,0,0,1
138,0,1,-0.9419544694673723,0,0,0,0,1,0,0,1
139,0,1,-0.3895732532335213,0,0,1,0,0,1,0,0
141,1,0,-0.527668557291984,0,0,0,0,1,0,0,1
142,1,0,-0.3895732532335213,1,0,0,0,1,0,0,1
143,0,1,-0.7348115133796782,0,0,0,0,1,0,1,0
144,0,1,-0.8038591654089096,0,0,0,1,0,0,0,1
145,0,1,-0.7348115133796782,1,1,0,1,0,0,0,1
146,1,1,-0.1824302971458272,0,0,0,0,1,0,0,1
147,0,0,-1.425288033671992,2,2,0,0,1,0,0,1
148,0,1,0.47352239713187083,0,2,0,1,0,0,0,1
149,0,1,0.8532844832926434,0,0,0,1,0,0,0,1
150,0,1,1.4747133515557256,0,0,0,1,0,0,0,1
151,1,0,-0.527668557291984,1,0,1,0,0,0,0,1
152,0,1,1.785427785687267,0,0,0,0,1,0,0,1
153,0,1,0.7497130052487962,0,2,0,0,1,0,0,1
155,0,1,1.4747133515557256,0,1,1,0,0,1,0,0
156,1,0,-0.9419544694673723,0,0,0,0,1,0,1,0
157,0,1,0.024712658941866902,0,0,0,0,1,0,0,1
160,0,1,0.9913797873511061,0,1,0,0,1,0,0,1
161,1,0,0.7151891792341806,0,0,0,1,0,0,0,1
162,0,1,-0.25147794917505856,0,0,0,0,1,0,0,1
163,0,1,-0.8729068174381409,0,0,0,0,1,0,0,1
164,0,1,-1.9776692499058428,4,1,0,0,1,0,0,1
165,1,1,-1.425288033671992,0,2,0,0,1,0,0,1
167,0,0,1.0604274393803375,1,4,0,0,1,0,0,1
169,0,1,-0.11338264511659583,0,0,0,0,1,0,0,1
170,0,1,2.1651898718480393,0,0,1,0,0,0,0,1
171,0,1,-1.7705262938181487,4,1,0,0,1,0,1,0
172,1,0,-1.9776692499058428,1,1,0,0,1,0,0,1
173,0,1,-0.5967162093212154,0,0,0,0,1,0,0,1
174,0,1,1.8199516117018826,0,0,1,0,0,1,0,0
175,0,1,-0.8038591654089096,1,1,0,0,1,0,0,1
177,0,0,1.4056656995264942,0,0,1,0,0,1,0,0
178,0,1,0.024712658941866902,0,0,0,1,0,0,0,1
179,0,1,0.43899857111725515,0,0,0,0,1,0,0,1
182,0,1,-1.425288033671992,4,2,0,0,1,0,0,1
183,1,1,-1.9776692499058428,2,1,0,1,0,0,0,1
184,1,0,-1.7705262938181487,0,2,0,0,1,0,0,1
187,1,1,1.0604274393803375,0,0,1,0,0,0,0,1
188,0,1,0.7151891792341806,1,1,0,0,1,0,1,0
189,0,1,0.43899857111725515,0,0,0,0,1,0,0,1
190,1,0,0.16280796300032965,0,0,0,1,0,0,0,1
191,0,1,-0.7348115133796782,0,0,0,1,0,0,0,1
192,1,0,-0.7348115133796782,1,0,0,0,1,0,0,1
193,1,1,-1.83957394584738,1,1,0,1,0,0,0,1
194,1,0,0.9913797873511061,0,0,1,0,0,1,0,0
195,1,0,1.9580469157603453,0,0,1,0,0,1,0,0
197,0,1,0.8532844832926434,0,1,0,0,1,0,0,1
199,0,0,-0.3895732532335213,0,0,0,1,0,0,0,1
200,0,1,-0.11338264511659583,0,0,0,0,1,0,0,1
202,0,1,0.3009032670587924,0,0,0,0,1,0,0,1
203,0,1,1.0949512653949531,0,0,0,0,1,1,0,0
204,1,1,-0.8038591654089096,0,0,0,0,1,0,0,1
205,0,0,-1.9086215978766115,0,1,0,0,1,0,0,1
206,0,1,0.16280796300032965,1,0,0,0,1,0,0,1
207,1,1,-0.25147794917505856,0,0,0,0,1,1,0,0
208,1,0,-0.9419544694673723,0,0,0,0,1,0,1,0
209,1,1,0.7151891792341806,0,0,1,0,0,1,0,0
210,0,1,-0.3895732532335213,0,0,0,0,1,0,0,1
211,1,0,0.36995091908802374,0,0,0,1,0,0,0,1
212,0,1,-0.527668557291984,0,0,0,0,1,0,0,1
213,0,1,0.024712658941866902,0,0,0,1,0,0,0,1
215,1,0,0.09376031097109827,1,0,1,0,0,1,0,0
216,1,0,-0.1824302971458272,0,0,0,0,1,0,0,1
217,0,1,0.8532844832926434,1,0,0,1,0,0,0,1
218,1,0,0.16280796300032965,0,0,1,0,0,1,0,0
219,0,1,0.024712658941866902,0,0,0,1,0,0,0,1
220,1,1,-0.9419544694673723,0,0,0,0,1,0,0,1
221,0,1,-0.1824302971458272,0,0,0,1,0,0,0,1
222,0,1,1.4747133515557256,0,0,0,0,1,0,0,1
224,1,1,0.5770938751757179,1,0,1,0,0,0,0,1
225,0,1,-0.527668557291984,0,0,0,0,1,0,0,1
226,1,1,-0.7348115133796782,0,0,0,1,0,0,0,1
227,0,1,-0.6312400353358311,0,0,0,0,1,0,0,1
228,0,1,-0.8038591654089096,0,0,0,1,0,0,0,1
230,1,0,0.36995091908802374,1,0,1,0,0,0,0,1
231,0,1,-0.044334993087364466,0,0,0,0,1,0,0,1
232,0,1,2.0270945677895766,0,0,0,1,0,0,0,1
233,1,0,-1.7014786417889174,4,2,0,0,1,0,0,1
234,0,1,-0.3895732532335213,0,0,0,1,0,0,0,1
236,0,1,0.9913797873511061,1,0,0,1,0,0,0,1
237,1,0,-1.4943356857012233,0,2,0,1,0,0,0,1
238,0,1,-0.7348115133796782,0,0,0,1,0,0,0,1
239,0,1,0.231855615029561,0,0,0,1,0,0,0,1
242,0,1,-0.044334993087364466,0,0,0,1,0,0,0,1
243,0,1,-0.527668557291984,0,0,0,0,1,0,0,1
244,0,1,0.024712658941866902,0,0,0,0,1,1,0,0
245,0,1,0.9913797873511061,2,0,1,0,0,0,1,0
246,0,0,-0.32052560120428997,0,0,0,0,1,0,0,1
247,1,0,-0.3895732532335213,0,2,0,1,0,0,0,1
248,1,1,0.5080462231464865,1,1,1,0,0,0,0,1
249,0,1,1.6818563076434199,1,0,0,1,0,0,0,1
251,0,0,-0.044334993087364466,1,1,0,0,1,0,0,1
252,0,1,2.234237523877271,0,0,1,0,0,0,0,1
253,0,1,0.024712658941866902,1,0,0,0,1,0,0,1
254,0,0,0.7842368312634119,0,2,0,0,1,0,0,1
255,1,0,-0.044334993087364466,0,2,0,0,1,1,0,0
257,1,0,0.024712658941866902,0,0,1,0,0,0,0,1
258,1,0,0.36995091908802374,0,0,1,0,0,1,0,0
259,1,0,1.4056656995264942,0,1,0,1,0,0,0,1
261,1,1,-1.83957394584738,4,2,0,0,1,0,0,1
262,0,1,1.5437610035849572,1,1,1,0,0,0,0,1
263,0,1,0.7151891792341806,0,0,1,0,0,0,0,1
265,0,1,0.43899857111725515,0,0,0,1,0,0,0,1
266,0,1,-0.9419544694673723,4,1,0,0,1,0,0,1
267,1,1,-0.32052560120428997,1,0,0,0,1,0,0,1
268,1,0,1.9580469157603453,0,1,1,0,0,0,0,1
269,1,0,0.36995091908802374,0,0,1,0,0,0,0,1
271,1,1,-0.32052560120428997,0,0,0,0,1,0,0,1
272,1,0,0.7842368312634119,0,1,0,1,0,0,0,1
273,0,1,0.5080462231464865,0,1,1,0,0,1,0,0
275,1,0,2.3032851759065025,1,0,1,0,0,0,0,1
276,0,0,1.0604274393803375,0,0,0,0,1,0,0,1
278,0,1,-1.5633833377304547,4,1,0,0,1,0,1,0
279,1,0,0.36995091908802374,1,1,0,0,1,0,0,1
280,0,1,2.441380479964965,0,0,0,0,1,0,1,0
281,0,1,-0.11338264511659583,0,0,0,0,1,0,0,1
282,0,1,-0.9419544694673723,0,0,0,0,1,0,0,1
283,1,1,-0.7348115133796782,0,0,0,0,1,0,0,1
285,0,1,0.231855615029561,0,0,0,0,1,1,0,0
286,1,1,0.024712658941866902,0,0,0,0,1,0,0,1
287,0,1,-0.527668557291984,0,0,0,0,1,0,0,1
288,1,1,0.8532844832926434,0,0,0,1,0,0,0,1
289,1,0,-0.527668557291984,0,0,0,0,1,0,1,0
290,1,0,-0.25147794917505856,0,0,1,0,0,0,0,1
291,1,0,-0.7348115133796782,1,0,1,0,0,1,0,0
292,0,1,0.43899857111725515,0,0,0,1,0,1,0,0
293,0,0,-0.3895732532335213,0,0,0,0,1,0,0,1
294,0,1,-0.3895732532335213,0,0,0,0,1,0,0,1
296,0,1,-0.424097079248137,0,0,0,0,1,1,0,0
297,0,0,-1.9086215978766115,1,2,1,0,0,0,0,1
299,1,0,1.4056656995264942,0,1,1,0,0,1,0,0
302,0,1,-0.7348115133796782,0,0,0,0,1,0,0,1
305,1,1,-1.9831930620681812,1,2,1,0,0,0,0,1
307,1,0,-0.8729068174381409,1,0,1,0,0,1,0,0
308,0,1,0.024712658941866902,1,0,0,1,0,1,0,0
309,1,0,0.024712658941866902,0,0,1,0,0,1,0,0
310,1,0,-0.3895732532335213,0,0,1,0,0,1,0,0
311,1,0,-0.8038591654089096,2,2,1,0,0,1,0,0
312,0,0,-0.25147794917505856,1,1,0,1,0,0,0,1
313,0,1,-0.11338264511659583,0,0,0,0,1,0,0,1
314,0,1,0.9223321353218747,1,1,0,1,0,0,0,1
315,1,0,-0.25147794917505856,0,0,0,0,1,0,0,1
316,1,0,-0.3895732532335213,1,0,0,1,0,0,0,1
317,0,1,1.6818563076434199,0,0,0,1,0,0,0,1
318,1,0,0.09376031097109827,0,2,1,0,0,0,0,1
319,1,0,0.7151891792341806,1,1,1,0,0,1,0,0
320,0,1,-0.527668557291984,0,0,0,0,1,0,0,1
321,0,1,-0.1824302971458272,0,0,0,0,1,0,0,1
322,1,0,0.024712658941866902,0,0,0,1,0,0,1,0
323,1,0,-0.527668557291984,1,1,0,1,0,0,0,1
325,1,0,0.43899857111725515,0,0,1,0,0,1,0,0
326,0,1,2.1651898718480393,0,0,0,0,1,0,0,1
327,1,0,0.43899857111725515,0,0,0,1,0,0,0,1
328,1,0,0.09376031097109827,1,1,0,0,1,0,0,1
329,1,0,-0.9419544694673723,0,1,1,0,0,1,0,0
331,0,1,1.0949512653949531,0,0,1,0,0,0,0,1
332,0,1,0.5770938751757179,0,1,1,0,0,0,0,1
333,0,1,-0.9419544694673723,2,0,0,0,1,0,0,1
336,0,1,-0.044334993087364466,1,0,1,0,0,0,0,1
337,1,0,0.7842368312634119,0,0,1,0,0,1,0,0
338,1,1,1.0604274393803375,0,0,0,0,1,0,0,1
339,0,1,1.0604274393803375,0,0,1,0,0,0,0,1
340,1,1,-1.9086215978766115,1,1,0,1,0,0,0,1
341,1,0,-0.3895732532335213,3,2,1,0,0,0,0,1
342,0,1,-0.11338264511659583,0,0,0,1,0,0,0,1
343,0,1,-0.32052560120428997,0,0,0,1,0,0,0,1
344,0,1,0.43899857111725515,0,0,0,1,0,0,0,1
345,1,0,-0.3895732532335213,0,0,0,1,0,0,0,1
346,1,0,0.7151891792341806,0,0,0,1,0,0,0,1
348,1,1,-1.83957394584738,1,1,0,0,1,0,0,1
349,0,1,0.8532844832926434,0,0,0,0,1,0,0,1
350,0,1,-0.4586209052627527,0,0,0,0,1,0,0,1
352,0,1,-1.0110021214966036,1,1,0,0,1,1,0,0
353,0,1,-0.32052560120428997,1,0,0,0,1,0,0,1
355,0,1,-0.11338264511659583,0,0,0,0,1,0,0,1
356,1,0,-0.527668557291984,0,1,1,0,0,0,0,1
357,0,0,0.5770938751757179,0,0,0,1,0,0,0,1
360,0,1,0.7151891792341806,1,4,0,0,1,0,0,1
361,0,1,-0.044334993087364466,1,0,0,1,0,1,0,0
362,0,0,1.0604274393803375,0,1,0,0,1,1,0,0
363,0,1,0.36995091908802374,0,0,0,0,1,0,0,1
365,0,1,0.024712658941866902,0,0,0,0,1,0,0,1
366,1,0,2.096142219818808,1,0,1,0,0,1,0,0
369,1,0,-0.3895732532335213,0,0,1,0,0,1,0,0
370,1,1,-0.32052560120428997,1,0,1,0,0,1,0,0
371,0,1,-0.8038591654089096,1,0,0,0,1,0,0,1
372,0,1,-0.7348115133796782,0,0,0,0,1,0,0,1
373,0,1,-0.527668557291984,0,0,1,0,0,1,0,0
374,0,0,-1.83957394584738,3,1,0,0,1,0,0,1
376,1,0,-0.527668557291984,0,0,0,0,1,0,0,1
377,0,1,-0.1824302971458272,0,2,1,0,0,1,0,0
378,0,1,-0.6657638613504469,0,0,0,0,1,1,0,0
379,0,1,-0.7348115133796782,0,0,0,0,1,0,0,1
380,1,0,0.8532844832926434,0,0,1,0,0,1,0,0
381,1,0,-1.9776692499058428,0,2,0,0,1,1,0,0
382,0,1,0.16280796300032965,0,0,0,0,1,0,0,1
383,1,0,0.36995091908802374,1,0,1,0,0,0,0,1
385,0,1,-0.8038591654089096,0,0,0,1,0,0,0,1
386,0,1,-1.9776692499058428,5,2,0,0,1,0,0,1
387,1,0,0.43899857111725515,0,0,0,1,0,0,0,1
389,1,0,-0.8729068174381409,0,0,0,1,0,1,0,0
390,1,1,0.43899857111725515,1,2,1,0,0,0,0,1
391,1,1,-0.5967162093212154,0,0,0,0,1,0,0,1
392,0,1,-0.11338264511659583,2,0,0,0,1,0,0,1
393,1,0,-0.4586209052627527,1,0,1,0,0,1,0,0
394,1,0,-0.3895732532335213,0,2,0,0,1,0,0,1
395,0,1,-0.527668557291984,0,0,0,0,1,0,0,1
396,0,0,0.09376031097109827,0,0,0,0,1,0,0,1
397,0,1,1.1294750914095688,0,0,0,1,0,0,0,1
398,0,1,-0.4586209052627527,0,0,0,1,0,0,0,1
399,1,0,-0.11338264511659583,0,0,0,1,0,0,0,1
400,1,1,0.6461415272049492,0,0,0,0,1,0,0,1
401,0,1,-0.25147794917505856,0,0,0,0,1,0,0,1
402,0,0,-0.5967162093212154,1,0,0,0,1,0,0,1
403,0,1,-0.11338264511659583,1,0,0,0,1,0,0,1
404,0,0,-0.6657638613504469,0,0,0,0,1,0,0,1
405,0,1,0.3009032670587924,1,0,0,1,0,0,0,1
406,0,1,1.4747133515557256,0,0,0,0,1,0,0,1
407,1,1,-1.83957394584738,1,1,0,1,0,0,0,1
408,0,1,-0.5967162093212154,0,0,0,0,1,0,0,1
412,1,0,0.231855615029561,1,0,1,0,0,0,1,0
414,1,1,0.9913797873511061,0,0,0,0,1,0,0,1
416,1,0,0.3009032670587924,1,1,0,1,0,0,0,1
417,1,0,-0.8038591654089096,0,2,0,1,0,0,0,1
418,0,1,0.024712658941866902,0,0,0,1,0,0,0,1
419,0,0,-1.3562403816427606,0,2,0,0,1,0,0,1
421,0,1,-0.5967162093212154,0,0,0,0,1,0,1,0
422,0,1,-0.044334993087364466,0,0,0,0,1,0,0,1
423,0,0,-0.11338264511659583,1,1,0,0,1,0,0,1
424,0,1,-0.8038591654089096,1,1,0,0,1,0,0,1
426,1,0,-0.11338264511659583,1,0,0,1,0,0,0,1
427,1,0,-0.7348115133796782,0,0,0,1,0,0,0,1
429,1,1,0.16280796300032965,0,0,0,0,1,0,0,1
430,1,1,-0.11338264511659583,0,0,1,0,0,0,0,1
432,1,0,0.8532844832926434,1,0,0,1,0,0,0,1
433,0,1,-0.8729068174381409,0,0,0,0,1,0,0,1
434,0,1,1.4056656995264942,1,0,1,0,0,0,0,1
435,1,0,-1.080049773525835,1,2,1,0,0,0,0,1
436,0,0,-0.5967162093212154,2,2,0,0,1,0,0,1
437,1,0,-0.3895732532335213,2,3,0,1,0,0,0,1
438,0,1,2.372332827935734,1,4,1,0,0,0,0,1
439,0,1,0.09376031097109827,0,0,0,1,0,0,0,1
440,1,0,1.0604274393803375,1,1,0,1,0,0,0,1
441,0,1,-0.6657638613504469,0,0,0,0,1,0,0,1
442,0,1,-0.32052560120428997,1,0,0,0,1,0,0,1
